 Name,Mass (MJ),Radius (RJ),Period (days),Semi-major axis (AU),Temp. (K),Discovery method,Discovery Year,Distance (ly),Host star mass (M☉),Host star temp. (K),Remarks,Mass Category,Period Category,Distance Category,Radius Category,Star Temp Category,IS Habbitable
Kepler-33e,0.018,0.359,31.784,0.214,1442.00,Transit,2006,4086.000,1.290,5904,None,Small,Short,Far,Small,Sun-like,0
Kepler-33f,0.030,0.398,41.029,0.254,1442.00,Transit,2006,4086.000,1.290,5904,None,Small,Short,Far,Small,Sun-like,0
Kepler-340b,1.981,0.226,14.844,0.134,1442.00,Transit,2006,2690.000,2.110,6620,None,Giant,Short,Far,Small,Hot,0
Kepler-340c,1.981,0.301,22.825,0.178,1442.00,Transit,2006,2690.000,2.110,6620,None,Giant,Short,Far,Small,Hot,0
Kepler-341b,1.981,0.105,5.196,0.060,1442.00,Transit,2006,3520.000,0.940,6012,None,Giant,Ultra Short,Far,Small,Hot,0
Kepler-341c,1.981,0.152,8.010,0.080,1442.00,Transit,2006,3520.000,0.940,6012,None,Giant,Ultra Short,Far,Small,Hot,0
Kepler-341d,1.981,0.165,27.666,0.182,1442.00,Transit,2006,3520.000,0.940,6012,None,Giant,Short,Far,Small,Hot,0
Kepler-341e,1.981,0.178,42.473,0.242,1442.00,Transit,2006,3520.000,0.940,6012,None,Giant,Short,Far,Small,Hot,0
Kepler-342b,1.981,0.201,15.170,0.128,1442.00,Transit,2006,2600.000,1.130,6175,None,Giant,Short,Far,Small,Hot,0
Kepler-342c,1.981,0.175,26.234,0.185,1442.00,Transit,2006,2600.000,1.130,6175,None,Giant,Short,Far,Small,Hot,0
Kepler-342d,1.981,0.222,39.459,0.242,1442.00,Transit,2006,2600.000,1.130,6175,None,Giant,Short,Far,Small,Hot,0
Kepler-342e,1.981,0.079,1.644,1442.000,1442.00,Transit,2006,2600.000,1.130,6175,None,Giant,Ultra Short,Far,Small,Hot,0
Kepler-343b,1.981,0.215,8.969,0.088,1442.00,Transit,2006,3100.000,1.040,5807,None,Giant,Ultra Short,Far,Small,Sun-like,0
Kepler-343c,1.981,0.180,23.222,0.167,1442.00,Transit,2006,3100.000,1.040,5807,None,Giant,Short,Far,Small,Sun-like,0
Kepler-344b,1.981,0.233,21.964,0.153,1442.00,Transit,2006,3360.000,0.900,5774,None,Giant,Short,Far,Small,Sun-like,0
