 Name,Mass (MJ),Radius (RJ),Period (days),Semi-major axis (AU),Temp. (K),Discovery method,Discovery Year,Distance (ly),Host star mass (M☉),Host star temp. (K),Remarks,Mass Category,Period Category,Distance Category,Radius Category,Star Temp Category,IS Habbitable
KMT-2021-BLG-1898 b,0.730,1.166,232.300,1.900,1442.00,Microlensing,2006,23000.000,0.480,5601,Possibly a binary star system,Medium,Long,Far,Medium,Sun-like,0
KMT-2021-BLG-2010 b,1.070,1.166,232.300,1.790,1442.00,Microlensing,2006,23000.000,0.370,5601,Multiple orbital solutions,Giant,Long,Far,Medium,Sun-like,0
KMT-2021-BLG-2294Lb,0.070,1.166,232.300,0.940,1442.00,Microlensing,2006,22000.000,0.110,5601,Multiple orbital solutions,Small,Long,Far,Medium,Sun-like,0
KMT-2021-BLG-2478b,0.800,1.166,232.300,1.380,1442.00,Microlensing,2006,8000.000,0.120,5601,None,Medium,Long,Far,Medium,Sun-like,0
KMT-2022-BLG-0371 b,0.260,1.166,232.300,3.020,1442.00,Microlensing,2006,23000.000,0.630,5601,Multiple orbital solutions,Medium,Long,Far,Medium,Sun-like,0
KMT-2022-BLG-0440L b,0.049,1.166,232.300,1.900,1442.00,Microlensing,2006,11000.000,0.530,5601,None,Small,Long,Far,Medium,Sun-like,0
KMT-2022-BLG-1013 b,0.310,1.166,232.300,1.380,1442.00,Microlensing,2006,25000.000,0.180,5601,None,Medium,Long,Far,Medium,Sun-like,0
KOI-12b,10.000,1.430,17.855,0.151,1442.00,Transit,2006,1390.000,1.450,6820,Host star also known as Kepler-448,Giant,Short,Far,Medium,Hot,0
KOI-4427.01,1.981,0.208,147.661,0.420,1442.00,Transit,2006,783.000,0.526,3813,"Potentially habitable exoplanet, false positive probability 0.8%. Also a red dwarf in the system.",Giant,Long,Far,Small,Cool,0
KOI-5Ab,0.179,0.630,5.000,1442.000,1442.00,Transit,2006,1870.000,1.130,5861,Also called TOI-1241b.,Medium,Ultra Short,Far,Medium,Sun-like,0
KOI-847 c,1.981,0.500,1106.243,2.080,1442.00,Transit,2006,3461.000,0.980,5692,Unconfirmed. Also known as Kepler-700c.,Giant,Long,Far,Medium,Sun-like,0
KPS-1b,1.090,1.030,1.706,0.027,1459.00,Transit,2006,863.300,0.892,5165,First transiting exoplanet found by an amateur astronomer,Giant,Ultra Short,Far,Medium,Sun-like,0
L 1159-16 b,0.088,1.166,241.590,0.403,1442.00,Radial Velocity,2006,14.584,0.150,3158,Refuted in 2022,Small,Long,Nearby,Medium,Cool,0
L 1159-16 c,0.230,1.166,772.050,0.880,1442.00,Radial Velocity,2006,14.578,0.150,3154,Confirmed in 2022 as L 1159-16 b,Medium,Long,Nearby,Medium,Cool,0
L 168-9b [ja],0.015,0.124,1.402,0.021,816.00,Transit,2006,82.028,0.620,3800,None,Small,Ultra Short,Nearby,Small,Cool,0
L 363-38 b,0.015,1.166,8.781,0.048,330.00,Radial Velocity,2006,33.310,0.210,3129,Host star also known as Gliese 3049,Small,Ultra Short,Nearby,Medium,Cool,0
L 98-59 b,0.002,0.071,2.253,0.023,1442.00,Transit,2006,34.640,0.310,3367,None,Small,Ultra Short,Nearby,Small,Cool,0
L 98-59 c,0.008,0.120,3.691,0.032,1442.00,Transit,2006,34.640,0.310,3367,None,Small,Ultra Short,Nearby,Small,Cool,0
L 98-59 d,0.011,0.140,7.451,0.052,1442.00,Transit,2006,34.640,0.310,3367,None,Small,Ultra Short,Nearby,Small,Cool,0
Lacaille 9352 b,0.013,1.166,9.262,0.068,468.00,Radial Velocity,2006,10.721,0.468,3688,None,Small,Ultra Short,Nearby,Medium,Cool,0
Lacaille 9352 c,0.023,1.166,21.789,0.120,352.00,Radial Velocity,2006,10.721,0.468,3688,None,Small,Short,Nearby,Medium,Cool,0
LHS 1140 b,0.021,0.128,24.737,0.088,254.00,Transit,2006,40.700,0.180,3216,Potentially habitable exoplanet,Small,Short,Nearby,Small,Cool,1
LHS 1140 c,0.006,0.114,3.778,0.027,438.00,Transit,2006,40.670,0.180,3216,None,Small,Ultra Short,Nearby,Small,Cool,0
LHS 1815 b [ja],0.013,0.097,3.814,0.040,617.00,Transit,2006,97.000,0.502,3643,None,Small,Ultra Short,Nearby,Small,Cool,0
LHS 3154b,0.041,1.166,3.718,0.023,1442.00,Radial Velocity,2006,51.430,0.112,2861,None,Small,Ultra Short,Nearby,Medium,Cool,0
LHS 3844 b,1.981,0.116,0.463,0.006,805.00,Transit,2006,48.600,0.150,3036,None,Giant,Ultra Short,Nearby,Small,Cool,0
LHS 475 b,0.003,0.088,2.029,0.021,586.00,Transit,2006,40.704,0.262,3312,Host star also known as TOI-910,Small,Ultra Short,Nearby,Small,Cool,0
LP 714-47 b,0.097,0.420,4.052,0.042,700.00,Transit,2006,171.800,0.590,3950,"Host star also known as G 160-62 or TOI 442, planet in Neptune desert",Small,Ultra Short,Mid-Range,Small,Cool,0
LP 791-18 b,1.981,0.100,0.948,0.010,650.00,Transit,2006,86.410,0.140,2960,None,Giant,Ultra Short,Nearby,Small,Cool,0
LP 791-18 c,1.981,0.206,4.990,0.029,370.00,Transit,2006,86.410,0.140,2960,None,Giant,Ultra Short,Nearby,Small,Cool,0
LSPM J2116+0234 b,0.042,1.166,14.440,0.088,1442.00,Radial Velocity,2006,57.530,0.430,3475,None,Small,Short,Nearby,Medium,Cool,0
LTT 1445 Ab,0.007,0.123,5.359,0.038,433.00,Transit,2006,22.400,0.260,3337,None,Small,Ultra Short,Nearby,Small,Cool,0
LTT 9779 b,0.092,0.421,0.792,0.017,2000.00,Transit,2006,262.800,1.020,5499,Neptune desert planet,Small,Ultra Short,Mid-Range,Small,Sun-like,0
MASCARA-1b,3.700,1.500,2.149,0.043,2570.00,Transit,2006,615.500,1.720,7554,None,Giant,Ultra Short,Far,Large,Hot,0
MOA-2008-BLG-379Lb,4.100,1.166,232.300,3.300,1442.00,Microlensing,2006,11000.000,0.560,5601,None,Giant,Long,Far,Medium,Sun-like,0
MOA-2009-BLG-266Lb,0.033,1.166,2774.000,3.200,1442.00,Microlensing,2006,9900.000,0.560,5601,None,Small,Long,Far,Medium,Sun-like,0
MOA-2009-BLG-319Lb,0.208,1.166,232.300,2.030,1442.00,Microlensing,2006,22800.000,0.514,5601,None,Medium,Long,Far,Medium,Sun-like,0
MOA-2009-BLG-387Lb,2.560,1.166,1982.000,1.820,1442.00,Microlensing,2006,18600.000,0.190,5601,None,Giant,Long,Far,Medium,Sun-like,0
MOA-2010-BLG-073Lb,11.000,1.166,232.300,1.210,1442.00,Microlensing,2006,9100.000,0.160,5601,Possibly brown dwarf,Giant,Long,Far,Medium,Sun-like,0
MOA-2010-BLG-117Lb,0.540,1.166,2369.000,2.900,1442.00,Microlensing,2006,11400.000,0.580,4000,None,Medium,Long,Far,Medium,Sun-like,0
MOA-2010-BLG-328Lb,0.029,1.166,232.300,0.920,1442.00,Microlensing,2006,2600.000,0.110,5601,None,Small,Long,Far,Medium,Sun-like,0
MOA-2010-BLG-353Lb,0.270,1.166,232.300,1.720,1442.00,Microlensing,2006,21000.000,0.180,5601,None,Medium,Long,Far,Medium,Sun-like,0
MOA-2010-BLG-477Lb,1.400,1.166,232.300,2.800,1442.00,Microlensing,2006,7500.000,0.530,5950,White dwarf host star,Giant,Long,Far,Medium,Sun-like,0
MOA-2011-BLG-028Lb,0.094,1.166,232.300,4.140,1442.00,Microlensing,2006,24100.000,0.750,5601,None,Small,Long,Far,Medium,Sun-like,0
MOA-2011-BLG-262L,4.000,1.166,232.300,1442.000,1442.00,Microlensing,2006,22830.000,1.080,3300,"Host star may be a rogue planet, planet may be an exomoon",Giant,Long,Far,Medium,Cool,0
MOA-2011-BLG-262Lb,0.057,0.383,232.300,1.000,1442.00,Microlensing,2006,22830.000,0.100,3300,"Host star may be a rogue planet, planet may be an exomoon",Small,Long,Far,Small,Cool,0
MOA-2011-BLG-291Lb,0.057,1.166,232.300,0.690,1442.00,Microlensing,2006,14000.000,0.150,5601,None,Small,Long,Far,Medium,Sun-like,0
MOA-2011-BLG-293Lb,4.800,1.166,232.300,1.100,1442.00,Microlensing,2006,25200.000,0.860,5601,None,Giant,Long,Far,Medium,Sun-like,0
MOA-2011-BLG-293Lb [ja],2.400,1.166,232.300,1.000,1442.00,Microlensing,2006,23000.000,0.675,5601,None,Giant,Long,Far,Medium,Sun-like,0
MOA-2011-BLG-322Lb,11.600,1.166,232.300,4.300,1442.00,Microlensing,2006,24700.000,0.390,5601,None,Giant,Long,Far,Medium,Sun-like,0
MOA-2012-BLG-006Lb,8.400,1.166,232.300,10.200,1442.00,Microlensing,2006,17000.000,0.490,5601,None,Giant,Long,Far,Medium,Sun-like,0
MOA-2012-BLG-505Lb,0.021,1.166,232.300,0.900,1442.00,Microlensing,2006,23500.000,0.100,5601,None,Small,Long,Far,Medium,Sun-like,0
MOA-2013-BLG-605Lb,0.010,1.166,232.300,0.940,1442.00,Microlensing,2006,167.585,0.030,5601,None,Small,Long,Mid-Range,Medium,Sun-like,0
MOA-2015-BLG-337Lb [ja],0.106,1.166,232.300,0.240,1442.00,Microlensing,2006,23000.000,0.009,5601,None,Medium,Long,Far,Medium,Sun-like,0
MOA-2016-BLG-0532L b,0.390,1.166,232.300,1.090,1442.00,Microlensing,2006,24000.000,0.090,5601,None,Medium,Long,Far,Medium,Sun-like,0
MOA-2016-BLG-227Lb,2.800,1.166,232.300,1.670,1442.00,Microlensing,2006,21000.000,0.290,5601,None,Giant,Long,Far,Medium,Sun-like,0
MOA-2016-BLG-319Lb,0.620,1.166,232.300,0.950,1442.00,Microlensing,2006,22000.000,0.150,5601,None,Medium,Long,Far,Medium,Sun-like,0
MOA-2019-BLG-008L b,30.000,1.166,232.300,1442.000,1442.00,Microlensing,2006,8000.000,0.800,5601,None,Giant,Long,Far,Medium,Sun-like,0
MOA-2020-BLG-135Lb,0.036,1.166,232.300,1.110,1442.00,Microlensing,2006,26000.000,0.230,5601,None,Small,Long,Far,Medium,Sun-like,0
MOA-2020-BLG-208Lb,0.217,1.166,232.300,2.880,1442.00,Microlensing,2006,25000.000,0.656,5601,None,Medium,Long,Far,Medium,Sun-like,0
MOA-2022-BLG-249Lb,0.015,1.166,232.300,1.630,1442.00,Microlensing,2006,6500.000,0.180,5601,None,Small,Long,Far,Medium,Sun-like,0
MOA-bin-1Lb,3.700,1.166,232.300,8.300,1442.00,Microlensing,2006,17000.000,0.750,5601,None,Giant,Long,Far,Medium,Sun-like,0
MOA-bin-29b,0.600,1.166,232.300,0.480,1442.00,Microlensing,2006,23200.000,0.030,5601,None,Medium,Long,Far,Medium,Sun-like,0
Mu Arae d,0.522,1.166,310.550,0.921,1442.00,Radial Velocity,2006,50.910,1.080,5786,Proper name Rocinante. Designated Mu Arae e by the Exoplanet Archive.,Medium,Long,Nearby,Medium,Sun-like,0
Mu Leonis b,2.400,1.166,357.800,1.100,1442.00,Radial Velocity,2006,133.000,1.500,4538.2,None,Giant,Long,Mid-Range,Medium,Sun-like,0
Mu2 Octantis b,6.900,1.166,3638.000,5.020,1442.00,Radial Velocity,2006,142.100,1.290,6017,None,Giant,Long,Mid-Range,Medium,Hot,0
Mu2 Scorpii b,14.400,1.166,232.300,290.000,1442.00,Imaging,2006,474.000,9.100,21900,None,Giant,Long,Mid-Range,Medium,Hot,0
Mu2 Scorpii c,18.500,1.166,232.300,21.000,1442.00,Imaging,2006,474.000,9.100,21900,None,Giant,Long,Mid-Range,Medium,Hot,0
MXB 1658-298 b,23.700,1.166,760.000,1.613,1442.00,Timing,2006,167.585,1.980,5601,Circumbinary planet,Giant,Long,Mid-Range,Medium,Sun-like,0
NGTS-11 b,0.370,0.823,35.455,0.201,440.00,Transit,2006,624.000,0.862,5050,None,Medium,Short,Far,Medium,Sun-like,0
NGTS-12b,0.208,1.048,7.533,0.076,1257.00,Transit,2006,1474.000,1.021,5690,None,Medium,Ultra Short,Far,Medium,Sun-like,0
NGTS-13b,4.840,1.142,4.120,0.055,1605.00,Transit,2006,2150.000,1.300,5819,None,Giant,Ultra Short,Far,Medium,Sun-like,0
NGTS-14Ab,0.092,0.444,3.536,0.040,1143.00,Transit,2006,1060.000,0.898,5187,None,Small,Ultra Short,Far,Small,Sun-like,0
NGTS-1b,0.812,1.330,2.647,0.033,790.00,Transit,2006,731.000,0.617,3916,Largest exoplanet in relation to its star,Medium,Ultra Short,Far,Medium,Cool,0
NGTS-20 b,2.980,1.070,54.189,0.313,688.00,Transit,2006,1195.000,1.470,5980,"Planet on eccentric orbit, host star also known as TOI-5152",Giant,Short,Far,Medium,Sun-like,0
NGTS-21b,2.360,1.330,1.543,0.024,1357.00,Transit,2006,2090.000,0.720,4660,None,Giant,Ultra Short,Far,Medium,Sun-like,0
NGTS-23b,0.613,1.267,4.076,0.050,1327.00,Transit,2006,3230.000,1.010,6057,None,Medium,Ultra Short,Far,Medium,Hot,0
NGTS-24b,0.520,1.214,3.468,0.048,1499.00,Transit,2006,2360.000,1.260,5820,None,Medium,Ultra Short,Far,Medium,Sun-like,0
NGTS-25b,0.639,1.023,2.823,0.039,1101.00,Transit,2006,2350.000,0.910,5321,None,Medium,Ultra Short,Far,Medium,Sun-like,0
NGTS-2b,0.740,1.595,4.511,0.063,1468.00,Transit,2006,1174.000,1.640,6478,Also known as WASP-179b,Medium,Ultra Short,Far,Large,Hot,0
NGTS-3Ab,2.380,1.480,1.675,0.023,1442.00,Transit,2006,2480.000,1.017,5600,None,Giant,Ultra Short,Far,Medium,Sun-like,0
NGTS-4b [it],0.065,0.284,1.337,0.019,1650.00,Transit,2006,921.700,0.750,5143,None,Small,Ultra Short,Far,Small,Sun-like,0
NGTS-5b [ja],0.229,1.136,3.357,0.038,952.00,Transit,2006,309.500,0.660,4987,None,Medium,Ultra Short,Mid-Range,Medium,Sun-like,0
NGTS-6b [ja],1.339,1.326,0.882,0.017,1442.00,Transit,2006,1010.000,0.770,4730,None,Giant,Ultra Short,Far,Medium,Sun-like,0
NGTS-8b,0.930,1.090,2.500,0.035,1345.00,Transit,2006,1420.000,0.890,5241,None,Medium,Ultra Short,Far,Medium,Sun-like,0
NGTS-9b,2.900,1.070,4.435,0.058,1448.00,Transit,2006,1420.000,1.340,6330,None,Giant,Ultra Short,Far,Medium,Hot,0
NN Serpentis c,7.330,1.166,5573.550,5.350,1442.00,Timing,2006,1631.000,0.540,57000,None,Giant,Long,Far,Medium,Hot,0
NN Serpentis d,2.300,1.166,2883.500,3.430,1442.00,Timing,2006,1631.000,0.540,57000,None,Giant,Long,Far,Medium,Hot,0
NSVS 14256825 b,14.150,1.166,3225.000,3.120,1442.00,Timing,2006,2734.200,0.420,40000,Disputed,Giant,Long,Far,Medium,Hot,0
Nu Ophiuchi b,24.000,1.166,530.320,1.900,1442.00,Radial Velocity,2006,152.800,3.040,4928,Brown dwarf or small star,Giant,Long,Mid-Range,Medium,Sun-like,0
Nu Ophiuchi c,27.000,1.166,3186.000,6.100,1442.00,Radial Velocity,2006,152.800,3.040,4928,Brown dwarf or small star,Giant,Long,Mid-Range,Medium,Sun-like,0
Nu2 Lupi b,0.015,0.132,11.578,0.097,1442.00,Radial Velocity,2006,47.850,0.870,5664,None,Small,Short,Nearby,Small,Sun-like,0
Nu2 Lupi c,0.036,0.233,27.591,0.173,1442.00,Radial Velocity,2006,47.850,0.870,5664,None,Small,Short,Nearby,Small,Sun-like,0
Nu2 Lupi d,0.028,0.229,107.245,0.425,1442.00,Radial Velocity,2006,47.850,0.870,5664,None,Small,Long,Nearby,Small,Sun-like,0
NY Vir (AB) b,2.300,1.166,3160.000,3.300,1442.00,Timing,2006,1800.000,0.600,33000,Circumbinary planet,Giant,Long,Far,Medium,Hot,0
NY Vir (AB) c,4.490,1.166,9861.750,7.540,1442.00,Timing,2006,1800.000,0.600,33000,Circumbinary planet,Giant,Long,Far,Medium,Hot,0
NY Virginis c,5.540,1.166,8799.000,1442.000,1442.00,Timing,2006,1800.000,1.080,5601,Disputed,Giant,Long,Far,Medium,Sun-like,0
OGLE-2005-BLG-169Lb,0.044,1.166,232.300,3.500,1442.00,Microlensing,2006,13000.000,0.690,5601,None,Small,Long,Far,Medium,Sun-like,0
OGLE-2006-BLG-284 b,0.450,1.166,232.300,2.200,1442.00,Microlensing,2006,13000.000,0.350,5601,"Binary host with 2.1 astronomical unit separation and uncertain, possibly unstable, planetary orbit.",Medium,Long,Far,Medium,Sun-like,0
OGLE-2007-BLG-349(AB)c,0.252,1.166,2557.000,2.590,1442.00,Microlensing,2006,9000.000,0.410,5601,None,Medium,Long,Far,Medium,Sun-like,0
OGLE-2008-BLG-355Lb,4.600,1.166,232.300,1.700,1442.00,Microlensing,2006,22000.000,0.370,5601,None,Giant,Long,Far,Medium,Sun-like,0
OGLE-2008-BLG-92Lb,0.180,1.166,232.300,18.000,1442.00,Microlensing,2006,26000.000,0.710,5601,None,Medium,Long,Far,Medium,Sun-like,0
OGLE-2011-BLG-0173Lb,0.190,1.166,232.300,8.000,1442.00,Microlensing,2006,20000.000,0.410,5601,Not the planetary candidate OGLE-2017-BLG-0173Lb!,Medium,Long,Far,Medium,Sun-like,0
OGLE-2011-BLG-0251Lb,0.530,1.166,232.300,2.720,1442.00,Microlensing,2006,8400.000,0.260,5601,None,Medium,Long,Far,Medium,Sun-like,0
OGLE-2011-BLG-265Lb,0.880,1.166,232.300,1.890,1442.00,Microlensing,2006,14300.000,0.210,5601,None,Medium,Long,Far,Medium,Sun-like,0
OGLE-2012-BLG-0026Lb,0.145,1.166,232.300,4.000,1442.00,Microlensing,2006,13110.000,1.060,5601,None,Medium,Long,Far,Medium,Sun-like,0
OGLE-2012-BLG-0026Lc,0.860,1.166,232.300,4.800,1442.00,Microlensing,2006,13110.000,1.060,5601,None,Medium,Long,Far,Medium,Sun-like,0
OGLE-2012-BLG-0563Lb,0.390,1.166,232.300,0.900,1442.00,Microlensing,2006,4200.000,0.340,5601,None,Medium,Long,Far,Medium,Sun-like,0
OGLE-2012-BLG-0724Lb,0.470,1.166,232.300,1.600,1442.00,Microlensing,2006,22000.000,0.290,5601,None,Medium,Long,Far,Medium,Sun-like,0
OGLE-2012-BLG-0950Lb,0.110,1.166,232.300,2.700,1442.00,Microlensing,2006,9800.000,0.560,5601,None,Medium,Long,Far,Medium,Sun-like,0
OGLE-2012-BLG-358Lb,1.850,1.166,232.300,0.870,1442.00,Microlensing,2006,5700.000,0.020,5601,Orbiting a brown dwarf,Giant,Long,Far,Medium,Sun-like,0
OGLE-2012-BLG-406Lb,2.730,1.166,232.300,3.450,1442.00,Microlensing,2006,16200.000,0.440,5601,None,Giant,Long,Far,Medium,Sun-like,0
OGLE-2013-BLG-0132Lb,0.290,1.166,232.300,3.600,1442.00,Microlensing,2006,13000.000,0.540,5601,None,Medium,Long,Far,Medium,Sun-like,0
OGLE-2013-BLG-0911L b,9.510,1.166,232.300,1442.000,1442.00,Microlensing,2006,10500.000,0.290,5601,None,Giant,Long,Far,Medium,Sun-like,0
OGLE-2013-BLG-102Lb,12.569,1.166,232.300,0.800,1442.00,Microlensing,2006,9900.000,0.100,5601,Additional planet or brown dwarf in the system.,Giant,Long,Far,Medium,Sun-like,0
OGLE-2013-BLG-1721Lb,0.640,1.166,232.300,2.600,1442.00,Microlensing,2006,21000.000,0.460,5601,None,Medium,Long,Far,Medium,Sun-like,0
OGLE-2013-BLG-1761Lb,2.700,1.166,232.300,1.800,1442.00,Microlensing,2006,23000.000,0.330,5601,None,Giant,Long,Far,Medium,Sun-like,0
OGLE-2013-BLG-341LBb,0.007,1.166,232.300,0.883,1442.00,Microlensing,2006,3790.000,0.150,5601,One more red dwarf in the system.,Small,Long,Far,Medium,Sun-like,0
OGLE-2014-BLG-0124Lb,0.510,1.166,232.300,3.110,1442.00,Microlensing,2006,13000.000,0.710,5601,None,Medium,Long,Far,Medium,Sun-like,0
OGLE-2014-BLG-0676Lb,3.090,1.166,232.300,4.400,1442.00,Microlensing,2006,7200.000,0.620,5601,None,Giant,Long,Far,Medium,Sun-like,0
OGLE-2014-BLG-1722Lb,0.170,1.166,1512.000,1.900,1442.00,Microlensing,2006,20900.000,0.400,3500,None,Medium,Long,Far,Medium,Cool,0
OGLE-2014-BLG-1722Lc,0.260,1.166,2283.000,2.500,1442.00,Microlensing,2006,20900.000,0.400,3500,None,Medium,Long,Far,Medium,Cool,0
OGLE-2014-BLG-1760Lb [id],0.560,1.166,232.300,1.750,1442.00,Microlensing,2006,22400.000,0.510,5601,None,Medium,Long,Far,Medium,Sun-like,0
OGLE-2015-BLG-0051Lb [id],0.720,1.166,232.300,0.730,1442.00,Microlensing,2006,27000.000,0.100,5601,None,Medium,Long,Far,Medium,Sun-like,0
OGLE-2015-BLG-0954Lb,3.900,1.166,232.300,1.200,1442.00,Microlensing,2006,2000.000,0.330,5601,None,Giant,Long,Far,Medium,Sun-like,0
OGLE-2015-BLG-0966Lb,0.066,1.166,232.300,2.100,1442.00,Microlensing,2006,8200.000,0.380,5601,None,Small,Long,Far,Medium,Sun-like,0
OGLE-2015-BLG-1649L,2.540,1.166,232.300,2.070,1442.00,Microlensing,2006,1380.000,0.340,5601,None,Giant,Long,Far,Medium,Sun-like,0
OGLE-2015-BLG-1670Lb,0.056,1.166,232.300,2.620,1442.00,Microlensing,2006,22000.000,0.550,5601,None,Small,Long,Far,Medium,Sun-like,0
OGLE-2016-BLG-0263Lb,4.100,1.166,232.300,5.400,1442.00,Microlensing,2006,21000.000,0.130,5601,None,Giant,Long,Far,Medium,Sun-like,0
OGLE-2016-BLG-0613(AB)b,4.180,1.166,232.300,6.400,1442.00,Microlensing,2006,11100.000,0.720,5601,None,Giant,Long,Far,Medium,Sun-like,0
OGLE-2016-BLG-1067Lb,0.430,1.166,232.300,1.700,1442.00,Microlensing,2006,12165.633,0.300,5601,None,Medium,Long,Far,Medium,Sun-like,0
OGLE-2016-BLG-1093Lb,0.710,1.166,232.300,2.130,1442.00,Microlensing,2006,26000.000,0.460,5601,None,Medium,Long,Far,Medium,Sun-like,0
OGLE-2016-BLG-1190Lb,13.380,1.166,1224.000,2.170,1442.00,Microlensing,2006,22100.000,0.880,5601,Extremely massive; possible brown dwarf,Giant,Long,Far,Medium,Sun-like,0
OGLE-2016-BLG-1195Lb,0.031,1.166,232.300,2.620,1442.00,Microlensing,2006,22000.000,0.570,5601,None,Small,Long,Far,Medium,Sun-like,0
OGLE-2016-BLG-1227 b,0.790,1.166,232.300,3.400,1442.00,Microlensing,2006,167.585,0.100,5601,None,Medium,Long,Mid-Range,Medium,Sun-like,0
OGLE-2016-BLG-1635L b,11.490,1.166,232.300,1.340,1442.00,Microlensing,2006,22000.000,0.430,5601,None,Giant,Long,Far,Medium,Sun-like,0
OGLE-2016-BLG-1850L b,0.030,1.166,232.300,1.460,1442.00,Microlensing,2006,7000.000,0.260,5601,None,Small,Long,Far,Medium,Sun-like,0
OGLE-2016-BLG-1928,0.001,1.166,232.300,1442.000,1442.00,Microlensing,2006,30000.000,1.080,5601,Rogue planet,Small,Long,Far,Medium,Sun-like,0
OGLE-2017-BLG-0173Lb,0.010,1.166,4493.000,3.900,1442.00,Microlensing,2006,15700.000,0.400,3500,Atypical lensing event Not an OGLE-2011-BLG-0173Lb!,Small,Long,Far,Medium,Cool,0
OGLE-2017-BLG-0373Lb,0.400,1.166,2768.000,2.420,1442.00,Microlensing,2006,19200.000,0.250,3250,None,Medium,Long,Far,Medium,Cool,0
OGLE-2017-BLG-0406 b,0.410,1.166,232.300,3.500,1442.00,Microlensing,2006,17000.000,0.560,4848,High fidelity microlensing event,Medium,Long,Far,Medium,Sun-like,0
OGLE-2017-BLG-0482Lb,0.028,1.166,1972.000,1.800,1442.00,Microlensing,2006,18900.000,0.200,3150,None,Small,Long,Far,Medium,Cool,0
OGLE-2017-BLG-0604b,0.510,1.166,232.300,4.060,1442.00,Microlensing,2006,13000.000,0.700,5601,None,Medium,Long,Far,Medium,Sun-like,0
OGLE-2017-BLG-1049Lb,5.530,1.166,232.300,3.920,1442.00,Microlensing,2006,18500.000,0.550,5601,None,Giant,Long,Far,Medium,Sun-like,0
OGLE-2017-BLG-1140Lb,1.590,1.166,819.000,1.020,1442.00,Microlensing,2006,11300.000,0.211,3170,None,Giant,Long,Far,Medium,Cool,0
OGLE-2017-BLG-1375b,10.330,1.166,232.300,2.970,1442.00,Microlensing,2006,12000.000,0.770,5601,Multiple solutions for planetary parameters,Giant,Long,Far,Medium,Sun-like,0
OGLE-2017-BLG-1434Lb,0.014,1.166,968.000,1.180,1442.00,Microlensing,2006,2800.000,0.234,3220,Planet confirmed in 2021,Small,Long,Far,Medium,Cool,0
OGLE-2017-BLG-1522Lb,0.750,1.166,780.000,0.590,1442.00,Microlensing,2006,3200.000,0.045,1500,None,Medium,Long,Far,Medium,Cool,0
OGLE-2017-BLG-1691Lb,0.046,1.166,232.300,2.410,1442.00,Microlensing,2006,24000.000,0.450,5601,Host star also known as KMT-2017-BLG-0752,Small,Long,Far,Medium,Sun-like,0
OGLE-2017-BLG-1806b,0.017,1.166,232.300,1.750,1442.00,Microlensing,2006,21000.000,0.380,5601,None,Small,Long,Far,Medium,Sun-like,0
OGLE-2018-BLG-0298Lb,0.140,1.166,232.300,2.860,1442.00,Microlensing,2006,21000.000,0.690,5601,None,Medium,Long,Far,Medium,Sun-like,0
OGLE-2018-BLG-0532Lb,0.021,1.166,232.300,1.103,1442.00,Microlensing,2006,167.585,1.080,5601,None,Small,Long,Mid-Range,Medium,Sun-like,0
OGLE-2018-BLG-0596Lb,0.044,1.166,232.300,0.970,1442.00,Microlensing,2006,18400.000,0.230,5601,None,Small,Long,Far,Medium,Sun-like,0
OGLE-2018-BLG-0677Lb [ja],0.013,1.166,232.300,0.680,1442.00,Microlensing,2006,27000.000,0.120,5601,Milky way bulge,Small,Long,Far,Medium,Sun-like,0
OGLE-2018-BLG-0740Lb,4.800,1.166,5480.000,6.100,1442.00,Microlensing,2006,10400.000,1.000,5912,None,Giant,Long,Far,Medium,Sun-like,0
OGLE-2018-BLG-0799Lb,0.220,1.166,232.300,1.270,1442.00,Microlensing,2006,16000.000,0.080,5601,None,Medium,Long,Far,Medium,Sun-like,0
OGLE-2018-BLG-0932b,0.890,1.166,232.300,1.750,1442.00,Microlensing,2006,22000.000,0.720,5601,None,Medium,Long,Far,Medium,Sun-like,0
OGLE-2018-BLG-1011Lb,1.800,1.166,232.300,6.100,1442.00,Microlensing,2006,23000.000,0.180,5601,None,Giant,Long,Far,Medium,Sun-like,0
OGLE-2018-BLG-1011Lc,2.800,1.166,232.300,0.800,1442.00,Microlensing,2006,23000.000,0.180,5601,None,Giant,Long,Far,Medium,Sun-like,0
OGLE-2018-BLG-1119Lb,0.910,1.166,232.300,4.060,1442.00,Microlensing,2006,19000.000,0.480,5601,None,Medium,Long,Far,Medium,Sun-like,0
OGLE-2018-BLG-1126b,0.056,1.166,232.300,3.230,1442.00,Microlensing,2006,19000.000,0.690,5601,None,Small,Long,Far,Medium,Sun-like,0
OGLE-2018-BLG-1212b,0.200,1.166,232.300,1.680,1442.00,Microlensing,2006,5100.000,0.160,5601,None,Medium,Long,Far,Medium,Sun-like,0
OGLE-2018-BLG-1269Lb,0.690,1.166,4383.000,4.610,1442.00,Microlensing,2006,8300.000,0.350,5601,Very high fidelity event,Medium,Long,Far,Medium,Sun-like,0
OGLE-2018-BLG-1367b,0.950,1.166,232.300,3.630,1442.00,Microlensing,2006,167.585,0.280,5601,Multiple solutions for frojected separation,Medium,Long,Mid-Range,Medium,Sun-like,0
OGLE-2018-BLG-1544b,11.200,1.166,232.300,6.210,1442.00,Microlensing,2006,21000.000,0.620,5601,Multiple solutions for frojected separation,Giant,Long,Far,Medium,Sun-like,0
